OTU,Average abundance South (Standardised and transformed),Average abundance North (Standardised and transformed),Contribution to variance (%)
sulfate-reducing bacterium Hxd3-30,0,0,0.01
Brucella suis strain ATCC 23445-30,0,0,0.01
Bordetella parapertussis strain 12822-30,0,0,0.01
Acidiphilum cryptum JF-5-08,0.01,0.01,0.01
Acidiphilum cryptum JF-5-30,0,0,0.01
Pelodictyon phaeoclathratiforme strain BU-1-08,0,0,0.01
Buchnera aphidicola strain 5A (Acyrthosiphon pisum)-01,0,0,0.01
Clostridium cellulolyticum strain H10-30,0,0,0.01
Wolinella succinogenes strain DSM 1740-30,0,0,0.01
Citrobacter rodentium strain ICC168-08,0,0,0.01
Clavibacter michiganensis subsp. michiganensis strain NCPPB 382-30,0,0,0.01
Bartonella grahamii strain as4aup-30,0,0,0.01
Oligotropha carboxidovorans strain OM5-08,0.01,0.01,0.01
Verminephrobacter eiseniae strain EF01-2-30,0,0,0.01
Pectobacterium carotovora subsp. atroseptica str. SCRI1043-08,0,0,0.01
Neisseria meningitidis serogroup A strain Z2491-30,0,0,0.01
Thermococcus gammatolerans strain EJ3-30,0,0,0.01
Pseudomonas putida strain W619-01,0,0,0.01
Pectobacterium carotovorum subsp. carotovorum strain PC1-30,0,0,0.01
Wautersia taiwanensis (Chen et al. 2001) Vaneechoutte et al. 2004-08,0.01,0,0.01
Halorhodospira halophila strain SL1-01,0.01,0,0.01
Pectobacterium wasabiae strain WPP163-30,0,0,0.01
Prochlorococcus sp. MIT9312-08,0,0,0.01
Diaphorobacter sp. TPSY-08,0.01,0,0.01
Pectobacterium wasabiae strain WPP163-08,0,0,0.01
Erwinia pyrifoliae strain Ep1/96-30,0,0,0.01
Leptospira interrogans serovar Copenhageni strain Fiocruz L1-130-30,0,0,0.01
Rhodopseudomonas palustris strain CGA009-30,0,0,0.01
Bacteroides fragilis strain YCH46-08,0,0,0.01
Streptococcus pneumoniae strain 70585-30,0,0,0.01
Francisella tularensis subsp. mediasiatica strain FSC147-08,0,0,0.01
Erwinia amylovora strain ATCC 49946-30,0,0,0.01
Buchnera aphidicola str. Bp (Baizongia pistaciae)-08,0,0,0.01
Cenarchaeum symbiosum B-01,0,0,0.01
Chloroflexus aurantiacus strain J-10-fl-30,0,0,0.01
Ehrlichia chaffeensis str. Arkansas-08,0,0,0.01
Bartonella quintana strain Toulouse-30,0,0,0.01
Meiothermus ruber strain DSM 1279-08,0,0,0.01
Actinobacillus pleuropneumoniae strain L20-08,0,0,0.01
Bacillus thuringiensis strain Al Hakam-30,0,0,0.01
Actinobacillus pleuropneumoniae serovar 3 str. JL03-08,0,0,0.01
Brucella suis strain ATCC 23445-08,0,0,0.01
Gloeobacter violaceus strain PCC 7421-08,0,0,0.01
Sulfurovum sp. NBC37-1-08,0,0,0.01
Klebsiella variicola strain At-22-30,0,0,0.01
Methylobacterium radiotolerans strain JCM 2831-08,0.01,0.01,0.01
Bartonella bacilliformis strain KC583-01,0,0,0.01
Meiothermus ruber strain DSM 1279-30,0,0,0.01
Yersinia pseudotuberculosis strain PB1/+-08,0,0,0.01
Streptomyces avermitilis str. MA-4680-30,0,0,0.01
Acidovorax citrulli strain AAC00-1-08,0,0,0.01
Methylocella sp. BL2-08,0,0,0.01
Dickeya dadantii strain Ech586-08,0,0,0.01
Francisella philomiragia subsp. philomiragia strain ATCC 25017-01,0.01,0,0.01
Propionibacterium acnes strain KPA171202-08,0,0,0.01
Frankia sp. EAN1pec-30,0,0,0.01
Xanthomonas albilineans var. paspali-08,0.01,0,0.01
Wolbachia sp. wRi-08,0,0,0.01
Pseudomonas fluorescens strain Pf-5-01,0.01,0,0.01
Pseudomonas fluorescens str. SBW25-01,0.01,0,0.01
Psychrobacter sp. PRwf-1-01,0.01,0,0.01
Prosthecochloris aestuarii strain DSM 271-08,0,0,0.01
Pyrobaculum aerophilum strain IM2-30,0,0,0.01
Wautersia taiwanensis (Chen et al. 2001) Vaneechoutte et al. 2004-30,0,0,0.01
Brucella melitensis strain ATCC 23457-30,0,0,0.01
Erwinia tasmaniensis strain Et1/99-08,0,0,0.01
Brucella canis strain ATCC 23365-30,0,0,0.01
Neisseria meningitidis serogroup B strain MC58-08,0,0,0.01
Azospirillum sp. B510-01,0,0.01,0.01
Jonesia denitrificans strain DSM 20603-30,0,0,0.01
Xylella fastidiosa strain M23-08,0,0,0.01
Neisseria gonorrhoeae strain NCCP11945-08,0,0,0.01
Gluconacetobacter diazotrophicus strain PAl 5-30,0,0,0.01
Acidimicrobium ferrooxidans strain DSM 10331-01,0,0,0.01
Pseudomonas fluorescens strain Pf0-1-01,0.01,0,0.01
Bacillus megaterium strain DSM319-30,0,0,0.01
Chloroherpeton thalassium strain ATCC 35110-08,0.01,0,0.01
Methylobacterium sp. 4-46-30,0,0,0.01
Pseudomonas syringae pv. syringae strain B728a-01,0.01,0,0.01
Salinibacter ruber strain DSM 13855-30,0,0,0.01
Pseudomonas putida str. KT2440-01,0,0,0.01
Rhizobium radiobacter str. C58 (U. Washington)-01,0.01,0,0.01
Pseudomonas putida GB-1-01,0,0,0.01
Rubrivivax gelatinosus PM1-01,0,0,0.01
Shewanella pealeana strain ATCC 700345-01,0,0,0.01
Sodalis glossinidius strain 'morsitans'-30,0,0,0.01
Acidovorax sp. JS42-30,0,0,0.01
Conexibacter woesei strain DSM 14684-30,0,0,0.01
Pseudomonas putida strain F1-01,0,0,0.01
Burkholderia thailandensis strain E264-30,0,0,0.01
Xylella fastidiosa str. Temecula1-08,0,0,0.01
Treponema denticola str. ATCC 35405-30,0,0,0.01
Francisella tularensis subsp. holarctica strain OSU18-30,0,0,0.01
Beutenbergia cavernae strain DSM 12333-30,0,0,0.01
Desulfovibrio salexigens strain DSM 2638-08,0,0,0.01
Sulfurospirillum deleyianum strain DSM 6946-30,0,0,0.01
Deinococcus geothermalis strain DSM 11300-30,0,0,0.01
Enterobacter sp. 638-30,0,0,0.01
Rhodothermus marinus strain DSM 4252-01,0,0,0.01
Burkholderia sp. 383-08,0,0,0.01
Prevotella ruminicola strain 23-08,0,0,0.01
Desulfohalobium retbaense strain DSM 5692-08,0,0,0.01
Yersinia pseudotuberculosis strain YPIII-30,0,0,0.01
Pseudomonas syringae pv. phaseolicola strain 1448A-01,0,0,0.01
Dichelobacter nodosus str. VCS1703A-01,0,0,0.01
Staphylococcus aureus subsp. aureus Mu50-30,0,0,0.01
Streptococcus mitis strain B6-08,0,0,0.01
Thermobifida fusca strain YX-30,0,0,0.01
Desulfobacterium autotrophicum strain HRM2-08,0,0,0.01
Frankia sp. CcI3-30,0,0,0.01
Salmonella enterica subsp. enterica serovar Typhi str. Ty2-08,0,0,0.01
Nitrosomonas eutropha strain C91-01,0.01,0,0.01
Burkholderia cepacia str. J2315-30,0,0,0.01
Tolumonas auensis strain DSM 9187-01,0.01,0,0.01
Acinetobacter sp. ADP1-01,0.01,0,0.01
Sodalis glossinidius strain 'morsitans'-08,0,0,0.01
Neisseria meningitidis serogroup A strain Z2491-08,0,0,0.01
Corynebacterium kroppenstedtii strain DSM 44385-30,0,0,0.01
Synechococcus sp. strain RF-1-08,0,0,0.01
Phenylobacterium zucineum strain HLK1-08,0.01,0,0.01
Salinibacter ruber Anton et al. 2002-30,0,0,0.01
Symbiobacterium thermophilum strain IAM 14863-30,0,0,0.01
Delftia acidovorans strain SPH-1-08,0,0,0.01
Klebsiella pneumoniae strain NTUH-K2044-30,0,0,0.01
Shigella flexneri serotype 2a str. 301-08,0,0,0.01
Maricaulis maris strain MCS10-01,0,0.01,0.01
Pseudomonas aeruginosa strain LESB58-01,0,0,0.01
Aciduliprofundum boonei strain T469-08,0,0,0.01
Escherichia coli strain CFT073-30,0,0,0.01
Sphaerobacter thermophilus strain DSM 20745-30,0,0,0.01
Buchnera aphidicola str. Cc (Cinara cedri)-01,0,0,0.01
Candidatus Hamiltonella defensa strain 5AT (Acyrthosiphon pisum)-08,0,0,0.01
Deinococcus radiodurans str. R1-08,0,0,0.01
Frankia alni strain ACN14a-30,0,0,0.01
Lysinibacillus sphaericus strain C3-41-08,0,0,0.01
Thermosynechococcus elongatus strain BP-1-01,0,0,0.01
Bacillus cereus strain ATCC 10987-30,0,0,0.01
Wolinella succinogenes strain DSM 1740-08,0,0,0.01
Acidiphilum cryptum JF-5-01,0,0,0.01
Nostoc sp. strain PCC 7120-08,0,0,0.01
Citrobacter koseri strain ATCC BAA-895-08,0,0,0.01
Dickeya zeae strain Ech1591-08,0,0,0.01
Rhizobium leguminosarum bv. trifolii strain WSM1325-08,0.01,0,0.01
Mesorhizobium loti strain MAFF303099-01,0.01,0.01,0.01
Shewanella sp. PV-4-01,0,0,0.01
Shewanella sp. WP3-01,0,0,0.01
Burkholderia glumae strain BGR1-08,0,0,0.01
Chlorobium limicola strain DSM 245-08,0,0,0.01
Pseudomonas syringae pv. tomato str. DC3000-01,0,0,0.01
Shewanella sediminis strain HAW-EB3-01,0,0,0.01
Ralstonia solanacearum strain MolK2-30,0,0,0.01
Xanthomonas euvesicatoria str. 85-10-30,0,0,0.01
Xanthomonas oryzae pv. oryzae strain MAFF 311018-30,0,0,0.01
Rhizobium leguminosarum bv. viciae str. 3841-08,0.01,0,0.01
Clostridium tetani str. E88-30,0,0,0.01
Desulfatibacillum alkenivorans strain AK-01-30,0,0,0.01
Bradyrhizobium sp. ORS278-08,0.01,0,0.01
Bifidobacterium longum str. NCC2705-30,0,0,0.01
Gemmatimonas aurantiaca strain T-27-08,0,0,0.01
Brucella abortus bv. 1 strain 9-941-08,0,0,0.01
Baumannia cicadellinicola str. Hc (Homalodisca coagulata)-08,0,0,0.01
Bacillus amyloliquefaciens strain FZB42-30,0,0,0.01
Pelobacter propionicus strain DSM 2379-08,0,0,0.01
Klebsiella variicola strain At-22-08,0,0,0.01
Vibrio cholerae strain M66-2-08,0,0,0.01
Rhizobium leguminosarum bv. trifolii strain WSM2304-08,0.01,0,0.01
Streptococcus suis strain 98HAH33-30,0,0,0.01
Buchnera aphidicola str. Bp (Baizongia pistaciae)-01,0,0,0.01
Rhodopseudomonas palustris strain BisB18-08,0,0,0.01
Yersinia pseudotuberculosis strain IP 31758-08,0,0,0.01
Photorhabdus asymbiotica Fischer-Le Saux et al. 1999 emend. Akhurst et al. 2004-08,0,0,0.01
Pasteurella multocida subsp. multocida strain Pm70-01,0,0,0.01
Bacteroides thetaiotaomicron strain VPI-5482-08,0,0,0.01
Rhodopseudomonas palustris strain TIE-1-30,0,0,0.01
Cyanothece sp. BH68K-08,0,0.01,0.01
Nocardioides sp. JS614-30,0,0,0.01
bacterium Ellin6076-30,0,0,0.01
Methylobacterium sp. 4-46-08,0.01,0,0.01
Ralstonia pickettii strain 12D-30,0,0,0.01
Yersinia pestis strain Antiqua-08,0,0,0.01
Salmonella enterica subsp. enterica serovar Typhi str. Ty2-30,0,0,0.01
Legionella pneumophila str. Lens-30,0,0,0.01
Anaplasma marginale strain St. Maries-08,0,0,0.01
Escherichia coli strain CFT073-08,0,0,0.01
Coxiella burnetii strain RSA 331-01,0,0,0.01
Sulfurospirillum deleyianum strain DSM 6946-08,0,0,0.01
Zymomonas mobilis subsp. mobilis strain ZM4-30,0,0,0.01
Petrotoga mobilis strain SJ95-30,0,0,0.01
Rhodopseudomonas palustris strain CGA009-08,0.01,0,0.01
Coxiella burnetii strain CbuG_Q212-01,0,0,0.01
Rickettsia massiliae strain MTU5-08,0,0,0.01
Burkholderia vietnamiensis strain G4-08,0,0,0.01
Candidatus Riesia pediculicola USDA-01,0,0,0.01
Hydrogenobacter thermophilus strain TK-6-30,0,0,0.01
Aeromonas hydrophila subsp. hydrophila strain ATCC 7966-01,0,0,0.01
Geobacillus kaustophilus HTA426-30,0,0,0.01
Streptococcus pneumoniae strain P1031-30,0,0,0.01
Synechococcus sp. RF-2-08,0,0,0.01
Buchnera aphidicola str. Sg (Schizaphis graminum)-01,0,0,0.01
Vibrio sp. Ex25-01,0,0,0.01
Rickettsia canadensis strain McKiel-30,0,0,0.01
Methanocorpusculum labreanum strain Z-30,0,0,0.01
Synechococcus sp. WH8102-01,0,0,0.01
Methylobacterium sp. DM4-30,0,0,0.01
Francisella tularensis subsp. tularensis strain WY96-3418-30,0,0,0.01
Ehrlichia ruminantium strain Gardel-30,0,0,0.01
Coxiella burnetii strain RSA 331-08,0,0,0.01
Desulfovibrio salexigens strain DSM 2638-30,0,0,0.01
Coxiella burnetii str. RSA 493-08,0,0,0.01
Bartonella grahamii strain as4aup-08,0,0,0.01
Shigella flexneri serotype 2a str. 2457T-08,0,0,0.01
Legionella pneumophila strain Corby-30,0,0,0.01
Hirschia baltica strain ATCC 49814-01,0.01,0.01,0.01
Haemophilus influenzae strain 86-028NP-08,0,0,0.01
Dyadobacter fermentans strain DSM 18053-01,0,0,0.01
Psychrobacter sp. 273-4-01,0,0,0.01
Deferribacter desulfuricans strain SSM1-08,0,0,0.01
Rhodococcus sp. RHA1-30,0,0,0.01
Leptospira interrogans serovar Copenhageni strain Fiocruz L1-130-08,0,0,0.01
Coxiella burnetii strain CbuK_Q154-01,0,0,0.01
Anaeromyxobacter sp. K-30,0,0,0.01
deep-sea eubacterium SS9-01,0,0,0.01
Acidobacterium capsulatum strain ATCC 51196-30,0,0,0.01
Acinetobacter baumannii strain AYE-08,0,0,0.01
Deinococcus deserti strain VCD115-08,0,0,0.01
Xanthomonas campestris pv. campestris strain B100-08,0,0,0.01
Nostoc sp. PCC 7937-08,0,0,0.01
Geobacter lovleyi strain SZ-08,0,0,0.01
Laribacter hongkongensis strain HLHK9-01,0,0,0.01
Rickettsia bellii strain RML369-C-01,0,0,0.01
Candidatus Liberibacter asiaticus strain psy62-30,0,0,0.01
Salmonella typhimurium LT2-30,0,0,0.01
Denitrovibrio acetiphilus strain DSM 12809-08,0,0,0.01
Helicobacter pylori strain HPAG1-30,0,0,0.01
Acaryochloris marina MBIC11017-08,0,0,0.01
Hyphomonas neptunium strain ATCC 15444-01,0,0,0.01
Clostridium sp. OhILAs-08,0,0,0.01
Ralstonia solanacearum strain MolK2-08,0,0,0.01
Rhizobium leguminosarum bv. viciae str. 3841-30,0,0,0.01
Desulfotomaculum acetoxidans strain DSM 771-30,0,0,0.01
Sulfurihydrogenibium azorense strain Az-Fu1-08,0,0,0.01
Sinorhizobium medicae WSM419-01,0.01,0,0.01
Brucella melitensis str. ATCC 23456-08,0,0,0.01
Bartonella quintana strain Toulouse-01,0,0,0.01
Kribbella flavida strain DSM 17836-30,0,0,0.01
Klebsiella pneumoniae subsp. pneumoniae strain MGH 78578-08,0,0,0.01
Picrophilus torridus strain DSM 9790-08,0,0,0.01
Erwinia amylovora strain CFBP1430-30,0,0,0.01
Rhodopseudomonas palustris strain BisB5-08,0,0,0.01
Acidovorax citrulli strain AAC00-1-30,0,0,0.01
Shewanella frigidimarina strain NCIMB 400-01,0,0,0.01
Burkholderia cepacia str. J2315-08,0,0,0.01
Acidothermus cellulolyticus strain 11B-08,0,0,0.01
Geobacter sp. M21-08,0,0,0.01
Thermodesulfovibrio yellowstonii DSM 11347-08,0,0,0.01
Brucella abortus bv. 1 strain 9-941-30,0,0,0.01
Xanthomonas euvesicatoria str. 85-10-08,0,0,0.01
Rickettsia canadensis strain McKiel-08,0,0,0.01
Mycobacterium gilvum strain PYR-GCK-30,0,0,0.01
Brucella sp. CCM 4915-01,0,0,0.01
Zymomonas mobilis subsp. mobilis strain NCIMB 11163-01,0,0,0.01
Vibrio salmonicida LFI1238-01,0,0,0.01
Geobacter sp. FRC-32-30,0,0,0.01
Clostridium perfringens strain SM101-30,0,0,0.01
Thermococcus sibiricus strain MM 739-08,0,0,0.01
Chlorobaculum parvum strain NCIB 8327-08,0,0,0.01
Desulfotomaculum reducens strain MI-1-30,0,0,0.01
Orientia tsutsugamushi strain Boryong-30,0,0,0.01
Synechococcus sp. CC9605-01,0,0,0.01
Xanthomonas axonopodis pv. citri str. 306-08,0,0,0.01
Legionella longbeachae strain NSW150-01,0,0,0.01
Gluconacetobacter diazotrophicus strain PAl 5-08,0,0,0.01
Aeromonas salmonicida subsp. salmonicida strain A449-01,0,0,0.01
Vibrio parahaemolyticus str. RIMD 2210633-01,0,0,0.01
Neisseria meningitidis strain 053442-08,0,0,0.01
Arthrobacter chlorophenolicus strain A6-30,0,0,0.01
Catenulispora acidiphila strain DSM 44928-30,0,0,0.01
Nitratiruptor sp. SB155-2-08,0,0,0.01
Elusimicrobium minutum strain Pei191-30,0,0,0.01
Caulobacter segnis strain ATCC 21756-08,0,0,0.01
Clostridium novyi-NT-30,0,0,0.01
Arthrobacter sp. FB24-30,0,0,0.01
Thiomicrospira denitrificans ATCC 33889-08,0,0,0.01
Bacteroides fragilis strain NCTC 9343-08,0,0,0.01
Methylobacterium extorquens strain PA1-30,0,0,0.01
Caulobacter vibrioides CB15-30,0,0,0.01
Cloacamonas acidaminovorans-08,0,0,0.01
Salmonella enterica subsp. enterica serovar Heidelberg str. SL476-08,0,0,0.01
sulfate-reducing bacterium Hxd3-08,0,0,0.01
Klebsiella pneumoniae strain NTUH-K2044-08,0,0,0.01
Acidaminococcus fermentans strain DSM 20731-08,0,0,0.01
Herminiimonas arsenicoxydans Muller et al. 2006-01,0.01,0,0.01
Ralstonia solanacearum strain GMI1000-08,0,0,0.01
Escherichia fergusonii strain ATCC 35469-08,0,0,0.01
Carboxydothermus hydrogenoformans str. Z-2901-08,0,0,0.01
Bordetella bronchiseptica RB50-30,0,0,0.01
Eggerthella lenta strain DSM 2243-30,0,0,0.01
Shewanella halifaxensis strain HAW-EB4-01,0,0,0.01
Rhodococcus opacus strain B4-30,0,0,0.01
Leptospirillum ferrooxidans ATCC 53993-08,0,0,0.01
Pseudomonas sp. LB400-08,0,0,0.01
Desulfotalea psychrophila LSv54-01,0,0,0.01
Pirellula staleyi strain DSM 6068-01,0,0,0.01
Micrococcus luteus ATCC 9341-08,0,0,0.01
Klebsiella pneumoniae strain 342-08,0,0,0.01
Shewanella denitrificans strain OS217-01,0,0,0.01
Coxiella burnetii strain Dugway 5J108-111-01,0,0,0.01
Finegoldia magna strain ATCC 29328-30,0,0,0.01
Buchnera aphidicola str. Sg (Schizaphis graminum)-30,0,0,0.01
Hydrogenobaculum sp. Y04AAS1-08,0,0,0.01
Rhodopseudomonas palustris strain TIE-1-08,0,0,0.01
Haemophilus influenzae strain PittGG-01,0,0,0.01
Haemophilus influenzae strain 86-028NP-01,0,0,0.01
Thermosipho melanesiensis strain BI429-30,0,0,0.01
Alicyclobacillus acidocaldarius subsp. acidocaldarius strain DSM 446-30,0,0,0.01
Oligotropha carboxidovorans strain OM5-01,0,0,0.01
Xanthomonas oryzae pv. oryzae strain PXO99A-08,0,0,0.01
[Mesorhizobium] sp. BNC1-01,0,0,0.01
Xanthomonas sp. Py2-01,0,0,0.01
Xylella fastidiosa strain M12-08,0,0,0.01
Mycobacterium smegmatis strain MC2 155-30,0,0,0.01
Rhodopseudomonas palustris strain BisA53-08,0,0,0.01
Alkaliphilus metalliredigens strain QYMF-08,0,0,0.01
Mycobacterium abscessus strain ATCC 19977-08,0,0,0.01
Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2-01,0,0,0.01
Thermanaerovibrio acidaminovorans strain DSM 6589-08,0,0,0.01
Escherichia coli O26:H11 strain 11368-30,0,0,0.01
Thermodesulfovibrio yellowstonii DSM 11347-30,0,0,0.01
Rhodococcus sp. RHA1-08,0,0,0.01
Paenibacillus sp. JDR-2-30,0,0,0.01
Arthrobacter aurescens strain TC1-08,0,0,0.01
Rhodococcus erythropolis strain PR4-30,0,0,0.01
Desulfovibrio vulgaris vulgaris (strain Hildenborough)-30,0,0,0.01
Synechococcus sp. PCC 7424-08,0,0,0.01
Vibrio cholerae serotype O1 biotype ElTor strain N16961-01,0,0,0.01
Psychrobacter cryohalolentis strain K5-01,0,0,0.01
endosymbiont of Acanthamoeba sp. UWE25-08,0,0,0.01
Kineococcus-like str. SRS30216-30,0,0,0.01
Myxococcus xanthus strain DK 1622-30,0,0,0
Actinobacillus succinogenes strain 130Z-01,0,0,0
Brucella melitensis strain ATCC 23457-08,0,0,0
Geobacter metallireducens strain GS-15-08,0,0,0
Caulobacter sp. K31-08,0,0,0
Rhodopseudomonas palustris strain HaA2-08,0,0,0
Synechococcus sp. RCC307-01,0,0,0
Salmonella enterica subsp. enterica serovar Enteritidis strain P125109-30,0,0,0
Polynucleobacter sp. QLW-P1DMWA-1-01,0,0,0
Hyperthermus butylicus strain DSM 5456-30,0,0,0
Vibrio fischeri strain MJ11-01,0,0,0
Natrialba magadii strain ATCC 43099-08,0,0,0
Geobacter sulfurreducens strain PCA-30,0,0,0
Synechococcus sp. PCC7002-01,0,0,0
Yersinia pestis strain Pestoides F-08,0,0,0
uncultured methanogenic archaeon Rice Cluster I-08,0,0,0
Streptococcus pneumoniae strain ATCC 700669-30,0,0,0
Sphingopyxis alaskensis strain RB2256-01,0,0,0
Erwinia amylovora strain ATCC 49946-08,0,0,0
Rhodopirellula baltica strain SH 1-01,0,0,0
Porphyromonas gingivalis strain W83-01,0,0,0
Methylobacterium sp. CM4-30,0,0,0
Corynebacterium urealyticum strain DSM 7109-30,0,0,0
Vibrio cholerae strain MJ-1236-01,0,0,0
Xanthomonas campestris pv. campestris str. ATCC 33913-08,0,0,0
Desulfitobacterium sp. Y51-30,0,0,0
Arcobacter butzleri strain RM4018-30,0,0,0
Vibrio harveyi strain ATCC BAA-1116-01,0,0,0
Roseiflexus castenholzii strain DSM 13941-08,0,0,0
Deinococcus deserti strain VCD115-30,0,0,0
Acidithiobacillus ferrooxidans str. ATCC 23270-01,0,0,0
Neisseria meningitidis strain FAM18-08,0,0,0
Ochrobactrum anthropi strain ATCC 49188-01,0,0,0
Syntrophobacter fumaroxidans strain MPOB-30,0,0,0
Wolbachia sp. wRi-01,0,0,0
Haemophilus parasuis strain SH0165-01,0,0,0
Histophilus somni str. 2336-01,0,0,0
Mycobacterium marinum strain M-30,0,0,0
Candidatus Blochmannia pennsylvanicus strain BPEN-08,0,0,0
Brucella melitensis biovar Abortus strain 2308-30,0,0,0
Trichodesmium sp. IMS101-01,0,0.01,0
Candidatus Amoebophilus asiaticus strain 5a2-01,0,0,0
Bdellovibrio bacteriovorus strain HD100-08,0,0,0
Pelotomaculum thermopropionicum strain SI-30,0,0,0
Ehrlichia canis strain Jake-30,0,0,0
Spirosoma linguale strain DSM 74-01,0,0,0
Bacillus megaterium strain QM B1551-30,0,0,0
Brucella suis str. 1330-08,0,0,0
Nitrobacter winogradskyi strain Nb-255-01,0,0,0
Xanthomonas oryzae pv. oryzae strain MAFF 311018-08,0,0,0
Leptospirillum ferrooxidans ATCC 53993-01,0,0,0
Listeria monocytogenes strain 08-5923-30,0,0,0
Burkholderia cepacia AMMD-08,0,0,0
Rhodococcus opacus strain B4-08,0,0,0
Burkholderia sp. STM815-08,0,0,0
Stackebrandtia nassauensis strain DSM 44728-08,0,0,0
Yersinia pestis strain Nepal516-30,0,0,0
Yersinia pestis strain Nepal516-08,0,0,0
Thauera sp. MZ1T-01,0,0,0
Desulfovibrio vulgaris strain 'Miyazaki F'-30,0,0,0
Methanocaldococcus vulcanius strain M7-30,0,0,0
Staphylococcus carnosus subsp. carnosusstrain TM300-30,0,0,0
Beijerinckia indica subsp. indica strain ATCC 9039-01,0,0,0
Brucella canis strain ATCC 23365-01,0,0,0
Dechloromonas sp. RCB-01,0,0,0
Nostoc sp. PCC73102-08,0,0,0
Desulfatibacillum alkenivorans strain AK-01-08,0,0,0
Baumannia cicadellinicola str. Hc (Homalodisca coagulata)-01,0,0,0
Acetobacter pasteurianus IFO 3283-01-01,0,0,0
Acinetobacter baumannii strain SDF-01,0,0,0
Lactobacillus brevis strain ATCC 367-30,0,0,0
Acinetobacter baumannii strain AYE-01,0,0,0
Leptospira interrogans serovar Lai str. 56601-30,0,0,0
Methanococcoides burtonii str. DSM 6242-30,0,0,0
Brucella suis strain ATCC 23445-01,0,0,0
Caulobacter vibrioides CB15-01,0,0,0
Rhizobium sp. NGR234-01,0,0,0
Rhizobium sp. ORS571-01,0,0,0
Streptococcus gallolyticus strain UCN34-30,0,0,0
Sinorhizobium meliloti strain 1021-01,0,0,0
Bartonella tribocorum strain CIP 105476-08,0,0,0
Escherichia coli strain ED1a-08,0,0,0
Burkholderia pseudomallei strain 668-08,0,0,0
Burkholderia sp. PsJN-08,0,0,0
Exiguobacterium sp. AT1b-30,0,0,0
Salmonella enterica subsp. enterica serovar Gallinarum strain 287/91-30,0,0,0
Atopobium parvulum strain DSM 20469-08,0,0,0
Jonesia denitrificans strain DSM 20603-08,0,0,0
Novosphingobium aromaticivorans strain DSM 12444-01,0,0,0
Burkholderia pseudomallei strain 1106a-08,0,0,0
Salinospora sp. CNB440-30,0,0,0
Caulobacter crescentus strain NA1000-01,0,0,0
Yersinia pestis strain Antiqua-30,0,0,0
Leptospira interrogans serovar Lai str. 56601-08,0,0,0
Vibrio vulnificus str. YJ016-01,0,0,0
Francisella tularensis var. palaearctica-08,0,0,0
Burkholderia sp. STM815-30,0,0,0
Wautersia eutropha JMP134-01,0,0,0
Candidatus Accumulibactor phosphatis Type IIA str. UW-1-01,0,0,0
Rickettsia typhi str. Wilmington-01,0,0,0
Methanococcoides burtonii str. DSM 6242-08,0,0,0
Syntrophobacter fumaroxidans strain MPOB-08,0,0,0
Geobacter uraniumreducens Rf4-08,0,0,0
Pelodictyon phaeoclathratiforme strain BU-1-01,0,0,0
Yersinia pestis strain KIM 10-30,0,0,0
Chitinophaga pinensis strain DSM 2588-01,0,0,0
Leptothrix cholodnii strain SP-6-01,0,0,0
Brucella melitensis biovar Abortus strain 2308-08,0,0,0
Bordetella pertussis Tohama I-08,0,0,0
Synechococcus sp. WH7803-01,0,0,0
Methylobacterium sp. DM4-08,0,0,0
Bifidobacterium longum str. DJO10A-30,0,0,0
Bifidobacterium longum subsp. infantis strain ATCC 15697-30,0,0,0
Bacillus halodurans strain C-125-08,0,0,0
Prochlorococcus marinus str. MIT 9515-01,0,0,0
Buchnera sp. APS-01,0,0,0
Staphylococcus haemolyticus strain JCSC1435-30,0,0,0
Deinococcus geothermalis strain DSM 11300-08,0,0,0
Streptomyces avermitilis str. MA-4680-08,0,0,0
Rhizobium etli strain CIAT 652-30,0,0,0
Zymomonas mobilis subsp. mobilis strain ZM4-01,0,0,0
Leptospirillum ferrooxidans ATCC 53993-30,0,0,0
Xanthomonas campestris pv. campestris strain 8004-08,0,0,0
Kribbella flavida strain DSM 17836-08,0,0,0
cyanobacterium UCYN-A-01,0,0,0
Desulfomicrobium baculatum strain DSM 4028-01,0,0,0
Pyrococcus abyssi strain GE5-30,0,0,0
Dictyoglomus thermophilum H-6-12-30,0,0,0
Agrobacterium vitis strain S4-01,0,0,0
Francisella tularensis subsp. holarctica strain OSU18-01,0,0,0
Vibrio vulnificus str. CMCP6-01,0,0,0
Burkholderia cenocepacia strain MC0-3-08,0,0,0
Streptosporangium roseum strain DSM 43021-30,0,0,0
Rickettsia massiliae strain MTU5-01,0,0,0
Yersinia pseudotuberculosis strain IP 32953-08,0,0,0
Rubrobacter xylanophilus strain DSM 9941-08,0,0,0
Aggregatibacter actinomycetemcomitans strain D11S-1-01,0,0,0
Thiomicrospira denitrificans ATCC 33889-01,0,0,0
Clostridium botulinum A2 strain Kyoto-30,0,0,0
Mycobacterium avium subsp. paratuberculosis strain K-10-30,0,0,0
Sorangium cellulosum strain 'So ce 56'-08,0,0,0
Synechococcus sp. PCC6301-01,0,0,0
Elusimicrobium minutum strain Pei191-08,0,0,0
Borrelia afzelii strain PKo-30,0,0,0
Paenibacillus sp. JDR-2-08,0,0,0
Rickettsia prowazekii strain Madrid E-01,0,0,0
