OTU	North_of_PF 01	North_of_PF 08	North_of_PF 30	South_of_PF 01	South_of_PF 08	South_of_PF 30
Clostridium sp. OhILAs	0.0005305	0.0007838	0.001933	0.001233	0.00483	0.0005917
Geobacillus thermodenitrificans strain NG80-2	0.0006674	0.0001175	0	0.002118	0.003101	0
Salmonella enterica subsp. enterica serovar Typhi str. Ty2	0.00036	0.0004137	0.002306	0.0009152	0.006893	0.004614
Carsonella-Pv	0	0	0	0.01192	0	0
Rickettsia canadensis strain McKiel	0.001809	0.003571	0.005265	0.001532	0.001944	0
Streptococcus suis strain SC84	0	0.003044	0.01933	0	0	0
Deinococcus deserti strain VCD115	0.0003718	0.005343	0.001222	0.0009795	0.002318	0.003393
Chloroflexus aurantiacus strain J-10-fl	0	0.000878	0.004497	0	0.001267	0.004856
Methanohalophilus mahii strain DSM 5219	0.0002741	0.002127	0.0007401	0.0001444	0.0001302	0
Klebsiella pneumoniae strain NTUH-K2044	0.0003375	0.001107	0.005954	0.0007537	0.004832	0.003288
Desulfotomaculum acetoxidans strain DSM 771	0.0003391	0.00115	0.001501	0.0003065	0.002408	0.004104
Micrococcus luteus strain NCTC 2665	0.0001704	0.0008367	0	0.0004546	0.0009768	0.008878
Frankia sp. EAN1pec	0.0003274	0.0009622	0.000579	0.0002381	0.001114	0.008143
Rickettsia massiliae strain MTU5	0.003155	0	0	0.001533	0.00572	0.002573
Brucella abortus strain S19	0.0009907	0.01106	0.001209	0.001787	0.003593	0
Rickettsia prowazekii strain Madrid E	0.003175	0.002175	0	0.001344	0.008476	0
Candidatus Liberibacter asiaticus strain psy62	0.003864	0.001808	0.004876	0.002094	0.000611	0
Escherichia coli strain CFT073	0.0004006	0.00467	0.003674	0	0.00226	0.003857
Helicobacter mustelae strain 12198	0.0004397	0	0.0006088	0.0002235	0	0
Shigella dysenteriae strain Sd197	0	0.0001246	0.00274	0.0001677	0.0008009	0.01082
Methanosarcina acetivorans str. C2A	0	0	0.001305	0	0.0009035	0.002002
Pyrococcus sp. OT3	0	0.0008527	0	0	0	0.008916
Pseudomonas sp. AM1	0.001153	0.001837	0.001736	0.000743	0.003163	0.002055
Desulfovibrio desulfuricans subsp. desulfuricans strain ATCC 27774	0.001101	0.0005485	0.0003673	0.002012	0.002873	0.002179
Streptosporangium roseum strain DSM 43021	0.0006242	0.001223	0.001733	0.0001608	0.0007224	0.002148
Elusimicrobium minutum strain Pei191	0.0004458	0.0002362	0.004496	0.0003055	0.003095	0
Methanococcus jannaschii DSM 2661	0	0	0	0.0001698	0.0002915	0.009238
Clostridium botulinum B1 strain Okra	0.000297	0	0.00564	0.0005905	0.0006522	0.008162
bacterium CBDB1	0	0.001502	0	0	0	0
Clostridium cellulolyticum strain H10	0.0002159	0.0004749	0.001534	0.0002586	0.0005858	0.007912
Thermotoga maritima strain MSB8	0	0	0	0.00016	0.000306	0
Dictyoglomus turgidum strain DSM 6724	0.0001587	0.00191	0	0.0002183	0	0
Jonesia denitrificans strain DSM 20603	0.0002772	0.001958	0.007739	0.0001816	0.00275	0
Candidatus Desulforudis audaxviator strain MP104C	0.0002587	0	0	0.0001493	0.0009615	0
Ralstonia solanacearum strain GMI1000	0.0009482	0.001076	0.001593	0.00191	0.005652	0.0009571
Streptococcus zooepidemicus	0	0.0006098	0	0	0.001524	0.01051
Erwinia amylovora strain ATCC 49946	0.0006437	0.003845	0.0008208	0.0006894	0	0.007404
Frankia alni strain ACN14a	0.0003781	0.0004696	0.0013	0	0.001006	0.006449
Desulfotomaculum reducens strain MI-1	0.0005856	0.0003234	0.004399	0.000662	0.002727	0
Clavibacter michiganensis subsp. michiganensis strain NCPPB 382	0.0001597	0.0003373	0.001881	0	0.002587	0.007851
Desulfitobacterium sp. Y51	0.0001017	0.001299	0.001629	0	0.001328	0.002514
Methanoculleus marisnigri strain JR1	0	0.0002123	0.0001687	0	0	0
Alicyclobacillus acidocaldarius subsp. acidocaldarius strain DSM 446	0.0001774	0.0008318	0.004276	0.0003142	0.001119	0.0003577
Treponema denticola str. ATCC 35405	0.0001754	0.0002425	0.007085	0.0001371	0.001112	0
Desulfovibrio vulgaris strain 'Miyazaki F'	0	0.0002787	0	0.0002674	0.002132	0.004009
Pseudobacterium sepedonicum	0.0001952	0.0002651	0.001389	0	0.002431	0.008126
Anaplasma marginale subsp. centrale str. Israel	0	0.002589	0.00863	0.001058	0	0.002942
Hydrogenobaculum sp. Y04AAS1	0.001817	0.003106	0.0002074	0.001277	0.002393	0
Paramecium bursaria Chlorella virus PBCV-1	0	0.0002504	0	0.002594	0.009206	0
Moorella thermoacetica strain ATCC 39073	0.0006354	0.0007034	0.0008119	0	0.001377	0
Petrotoga mobilis strain SJ95	0	0	0	0.0001605	0.001375	0.005675
Clostridium tetani str. E88	0	0.0002654	0	0.0001114	0.0006744	0.006723
Beutenbergia cavernae strain DSM 12333	0.0003561	0.0004957	0.0004051	0	0.001309	0.007074
Brucella abortus bv. 1 strain 9-941	0	0.005947	0	0	0	0.005086
Streptococcus mutans str. UA159	0	0.0005989	0	0	0	0.01082
Leptospira biflexa serovar Patoc strain Paris	0.0005377	0.0006245	0.001849	0.0009357	0.002215	0.001117
Thermococcus onnurineus strain NA1	0	0.0001222	0	0	0	0.01066
Campylobacter fetus subsp. fetus strain 82-40	0.0006387	0.0006447	0	0.0001605	0.0004947	0
Sulfurihydrogenibium sp. YO3AOP1	0.0007663	0.001427	0.001413	0.0003631	0.001451	0
Lawsonia intracellularis strain PHE/MN1-00	0.0004919	0.0007028	0	0.0008955	0.0006168	0.002994
Brucella suis str. 1330	0.001954	0.001424	0.008894	0.001456	0.002401	0
Pyrobaculum calidifontis strain JCM 11548	0	0	0	0	0	0.009802
Arthrobacter chlorophenolicus strain A6	0.0002154	0.002079	0.001005	0.0003309	0.001834	0.003899
Escherichia coli O55:H7 strain CB9615	0.0002595	0.001494	0.001696	0.0005592	0.00145	0.001206
Bacillus megaterium strain DSM319	0.0003926	0	0.002773	0.0003068	0.00102	0.005566
Ammonifex degensii strain KC4	0.0001651	0.001474	0	0.000155	0.0003704	0
Kribbella flavida strain DSM 17836	0.0005593	0.003513	0.005108	0	0.0003425	0.0003266
Francisella tularensis subsp. holarctica strain OSU18	0.003254	0.0005891	0.00319	0.0004032	0	0.004551
Corynebacterium diphtheriae NCTC13129	0.0001808	0.000514	0.0006187	0.0001668	0.000339	0.008281
Dehalococcoides sp. VS	0	0	0	0.0002171	0	0
Methanocorpusculum labreanum strain Z	0.0001067	0.0003395	0.004521	0	0	0
Streptococcus suis strain BM407	0	0.000964	0	0.0002718	0	0.009574
Nocardia farcinica strain IFM 10152	0.0007112	0.0003565	0.0004295	0.0009249	0.002567	0.002721
Vibrio cholerae strain M66-2	0	0.0003867	0	0.0009536	0.00618	0.002186
Pyrobaculum aerophilum strain IM2	0	0	0	0	0	0.008012
Staphylococcus aureus subsp. aureus Mu50	0.0001973	0.0002386	0	0.0001183	0	0.007571
Desulfovibrio vulgaris vulgaris (strain Hildenborough)	0	0.001358	0.003194	0.0004022	0.001531	0.001745
Streptococcus equi subsp. equi strain 4047	0	0	0	0	0.0002378	0.009959
Salmonella enterica subsp. enterica serovar Paratyphi B strain SPB7	0.0001393	0.0008218	0.002336	0	0.001714	0.0007608
Xanthomonas oryzae pv. oryzae strain KACC10331	0.0001745	0.001076	0.001575	0.0006236	0.003561	0.002374
Thermococcus gammatolerans strain EJ3	0	0	0	0	0	0.008701
Rhodococcus erythropolis strain PR4	0.0001878	0.001709	0.001591	0.0004257	0.002341	0.003719
Buchnera aphidicola str. Cc (Cinara cedri)	0.005989	0.0007456	0	0.00201	0.000514	0
Desulfovibrio vulgaris subsp. vulgaris DP4	0	0.0009053	0.001031	0.0001437	0.001195	0.001853
Mycobacterium sp. KMS	0	0.000282	0.001106	0.0001083	0.0001755	0.008012
Methanothrix thermophila PT	0.0002398	0.001156	0.0006973	0	0.0006278	0
Mycoplasma genitalium strain G37	0	0	0.01594	0	0	0
Finegoldia magna strain ATCC 29328	0	0.0003992	0	0.000246	0.0001512	0.004828
Bacillus halodurans strain C-125	0.0004381	0.001116	0.0006507	0.0008889	0.002964	0.0003633
Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	0.003606	0	0	0.0009828	0.00629	0
Escherichia fergusonii strain ATCC 35469	0.0002227	0.004601	0.0005703	0.001159	0.002367	0.001717
Yersinia pestis strain Z176003	0	0.002395	0.004346	0	0	0.005254
Halomicrobium mukohataei strain DSM 12286	0	0.0003499	0.007199	0	0	0.003763
Catenulispora acidiphila strain DSM 44928	0.0002264	0.0006463	0.001038	0.0001629	0.0003371	0.004641
Bacillus tusciae strain DSM 2912	0.0001421	0.0005732	0.0008643	0.0002539	0.0009419	0
Thermoanaerobacter tengcongensis strain MB4	0.0003536	0.0008585	0.0001345	0	0.0009109	0
Caldicellulosiruptor saccharolyticus strain DSM 8903	0.0003097	0.0007159	0.001617	0	0	0.001669
Mycobacterium marinum strain M	0.0001428	0.0002673	0.0004496	0.0001707	0.002588	0.003829
Orientia tsutsugamushi strain Boryong	0.0008655	0.00113	0.004424	0.0007792	0.002107	0
Helicobacter pylori strain HPAG1	0	0	0	0	0	0.005193
Aquifex aeolicus str. VF5	0.0003243	0.0007096	0	0.0003374	0.001018	0
Kineococcus-like str. SRS30216	0.0003641	0.001427	0.001925	0.0003877	0.0006397	0.002484
Clostridium novyi-NT	0	0.001823	0	0.0003958	0.0006754	0.004802
Yersinia pestis strain Nepal516	0	0.0008379	0.001901	0	0.003521	0.002712
Brucella melitensis str. ATCC 23456	0	0.001824	0.002867	0	0.004856	0
Brucella melitensis biovar Abortus strain 2308	0	0	0	0	0.003455	0.003921
Staphylococcus aureus subsp. aureus strain ED98	0	0	0	0	0.0001818	0
Arthrobacter aurescens strain TC1	0.0002902	0.001126	0.001098	0.0004908	0.004647	0
Bacillus sp. KSM-K16	0.0001122	0.001023	0	0.0001614	0.0004218	0.0004154
Arthrobacter sp. FB24	0.0001165	0.001003	0.003446	0.0001463	0.002422	0.001933
Desulfitobacterium hafniense DSM 10664	0	0.0009105	0	0.000182	0.0006467	0.002959
Streptomyces scabies 87.22	0.0001633	0.0004354	0.001615	0.000229	0.0008842	0.002419
Bacillus megaterium strain QM B1551	0.0001461	0.0003206	0.001096	0.0001647	0.001202	0.003146
Methanosphaerula palustris strain E1-9c	0.0001736	0.0008033	0.0001199	0.0002928	0	0
Bacillus thuringiensis strain Al Hakam	0	0	0.004076	0	0.0002316	0.00431
Mycobacterium gilvum strain PYR-GCK	0.0004651	0.0001681	0.005041	0.0002903	0.0005716	0.0009542
Leptospira borgpetersenii serovar Hardjo-bovis strain L550	0.0002902	0.0008634	0.001366	0.0002875	0	0
Eggerthella lenta strain DSM 2243	0	0	0	0.0001361	0.001764	0.004355
Clostridium beijerinckii strain NCIMB 8052	0	0.0002083	0.0004316	0.0001805	0	0.002408
Shigella flexneri serotype 2a str. 301	0	0	0	0	0.006751	0
Dictyoglomus thermophilum H-6-12	0	0	0.003068	0.0003576	0	0
Micrococcus luteus ATCC 9341	0.0005007	0.004386	0	0.0006606	0.0007855	0
Archaeoglobus profundus strain DSM 5631	0	0.0001225	0	0	0	0.001052
Thermus thermophilus strain HB27	0.0001491	0.001158	0.0004118	0.0006306	0.001027	0.002168
Thermus thermophilus HB8	0.0007733	0.001384	0.0004163	0	0.001064	0.002191
Escherichia coli strain ED1a	0.0003149	0.003624	0.001662	0.0009646	0.001162	0.001367
Streptomyces griseus subsp. griseus strain NBRC 13350	0	0.000466	0	0.0003233	0.0008006	0.001084
Picrophilus torridus strain DSM 9790	0.0002089	0.00424	0.002479	0.0001222	0	0
Hydrogenobacter thermophilus strain TK-6	0	0	0.005309	0.0001947	0.0005707	0
Exiguobacterium sp. AT1b	0.0003774	0.0004752	0	0.0004204	0.0008253	0.003312
Dehalococcoides sp. BAV1	0.000222	0	0	0	0	0
Helicobacter hepaticus str. ATCC 51449	0.0003633	0.0006671	0.002506	0.001268	0.001226	0
Salinospora sp. CNB440	0.0003772	0.0004924	0.00315	0.0001371	0.001098	0.0008789
Natranaerobius thermophilus strain JW/NM-WN-LF	0.0004017	0.0002822	0	0.0003922	0.0002604	0
Saccharopolyspora erythraea strain NRRL 2338	0.0001345	0.00103	0	0.0001146	0.001251	0
Anaerocellum thermophilum strain DSM 6725	0.0001022	0.0006711	0	0.0002485	0	0.001713
Staphylococcus haemolyticus strain JCSC1435	0	0	0.0002932	0	0.002039	0.003091
Pyrococcus abyssi strain GE5	0	0.0005525	0.002368	0	0	0.0005314
Mycobacterium smegmatis strain MC2 155	0.0003053	0.0002663	0.003144	0.0003123	0.001305	0.001775
Thermoplasma acidophilum strain DSM 1728	0	0.001834	0	0	0	0.001357
Rickettsia conorii strain Malish 7	0	0	0	0.0007112	0.001457	0
Francisella tularensis var. palaearctica	0	0	0	0	0.003496	0
Streptococcus pneumoniae strain 70585	0	0	0.008432	0	0	0
Bacillus cereus strain ATCC 10987	0	0	0.002794	0	0	0.004239
Geobacillus sp. Y412MC10	0	0.001173	0.001299	0.0001447	0.001082	0.0003559
Bifidobacterium longum str. NCC2705	0	0	0.0004177	0	0	0.006269
Salmonella typhimurium LT2	0	0.000366	0.001353	0	0.0006979	0.004771
Francisella tularensis subsp. tularensis strain FSC198	0.001186	0	0	0.001258	0.002344	0.002173
Desulfovibrio magneticus strain RS-1	0.0001135	0.001421	0.001551	0.000589	0.0003351	0
Ehrlichia canis strain Jake	0.001485	0	0.003595	0.0006097	0.000209	0
Ehrlichia ruminantium strain Gardel	0.0006154	0	0.004381	0.0005456	0	0.001282
Methanospirillum hungatei strain JF-1	0	0.001172	0	0.0001648	0.0004821	0
Salmonella enterica subsp. enterica serovar Enteritidis strain P125109	0	0.001659	0	0.0003635	0.00047	0.004219
Candidatus Blochmannia floridanus	0.002124	0.0003737	0	0.00151	0.001805	0
Leptospira borgpetersenii serovar Hardjo-bovis strain JB197	0.0001668	0.0006287	0.0002964	0.0005066	0.0008998	0.001305
Corynebacterium kroppenstedtii strain DSM 44385	0.0003825	0.0004622	0.006189	0.0002877	0.0002745	0
Candidatus Blochmannia pennsylvanicus strain BPEN	0.0003715	0	0	0.00164	0.00383	0
Yersinia pestis biovar Orientalis strain IP275	0	0	0	0	0	0
Methanobrevibacter ruminantium strain M1	0	0	0.007449	0	0.0008781	0.0001756
Bacillus amyloliquefaciens strain FZB42	0.0002097	0	0.005507	0.000285	0.001161	0
Streptococcus suis strain 98HAH33	0	0	0	0.0001368	0	0.005895
Veillonella parvula strain DSM 2008	0.0003661	0	0	0.0004632	0	0
Streptococcus equi subsp. zooepidemicus strain MGCS10565	0	0.0006694	0.007546	0	0	0.0009564
Clostridium perfringens strain SM101	0	0	0.001346	0.0001823	0.0003408	0.003965
Staphylococcus epidermidis ATCC 12228	0	0	0	0.000145	0.0004462	0
Vibrio vulnificus str. CMCP6	0.001989	0	0	0.003336	0	0
Neorickettsia sennetsu str. Miyayama	0.001097	0	0	0.0002733	0.001028	0
Campylobacter jejuni subsp. doylei strain 269.97	0.0002081	0	0	0.0003722	0.0006778	0
Candidatus Riesia pediculicola USDA	0.005699	0.001078	0	0.0008703	0	0
Atopobium parvulum strain DSM 20469	0	0.002587	0	0.0005182	0.001515	0
Mycobacterium ulcerans strain Agy99	0	0	0.0006678	0.0001327	0.002309	0.002072
Thermoplasma volcanium strain GSS1	0	0.0001523	0.001399	0	0	0
Fusobacterium nucleatum subsp. nucleatum str. ATCC 25586	0.000226	0	0	0.0003193	0.001095	0
Clostridium botulinum B strain Eklund 17B	0.0002806	0	0.0004512	0	0.001454	0
Staphylococcus carnosus subsp. carnosusstrain TM300	0.0002434	0	0	0.0001561	0.0001154	0.003727
Shigella flexneri serotype 2a str. 2457T	0.0001473	0.003965	0	0.0003018	0.002276	0
Clostridium perfringens strain ATCC 13124	0	0.001012	0.0001148	0.0001965	0.0005846	0.003192
Mycobacterium avium subsp. paratuberculosis strain K-10	0.0001029	0.0001736	0.001242	0.0001453	0.0009889	0.001915
Thermoanaerobacter pseudethanolicus strain ATCC 33223	0.0003741	0	0	0.0002399	0	0
Gordonia bronchialis strain DSM 43247	0.00101	0.0009751	0.0008666	0.0003865	0.0009775	0.0006936
Actinosynnema mirum strain DSM 43827	0.0001531	0.0001645	0.0003677	0	0.0004412	0.002034
Pseudomonas sp. strain ADP	0.008378	0	0	0	0	0
Streptomyces coelicolor A3(2)	0.0001794	0.0005081	0.00115	0.0001953	0.0008603	0.000361
Salmonella enterica subsp. enterica serovar Paratyphi A strain AKU_12601	0.0004524	0.001011	0.00179	0	0.001556	0.0007637
Thermocrinis albus strain DSM 14484	0.0001731	0.0001201	0.001722	0.0004084	0.0004574	0
Thermococcus sibiricus strain MM 739	0	0.0008279	0	0	0.003776	0
Thermoanaerobacter italicus strain Ab9	0.0002396	0.0005752	0	0.0002044	0.0004795	0
Bacillus cytotoxis NVH 391-98	0	0	0.001783	0.0008303	0.001156	0
Macrococcus caseolyticus strain JCSC5402	0	0.0008849	0.0002168	0.0005683	0.0005119	0.001865
Bacillus pumilus strain SAFR-032	0	0.0001707	0.000561	0.0001333	0.0007406	0.001086
Buchnera sp. APS	0.001946	0.002072	0	0.001986	0	0
Escherichia coli O26:H11 strain 11368	0	0.0001642	0.003004	0.000146	0.0002431	0.001959
Pantoea ananatis strain LMG 20103	0.001521	0	0	0.002541	0	0
Aminobacterium colombiense strain DSM 12261	0	0	0	0.0001345	0.0001268	0
Campylobacter concisus strain 13826	0.0002608	0	0	0.0003767	0.0003396	0.0001101
Streptococcus thermophilus strain LMD-9	0.0002809	0	0	0	0.002525	0.0005033
Geobacillus sp. Y412MC61	0.000496	0.0002422	0.0001111	0.0007018	0.0002212	0.0009177
Clostridium phytofermentans strain ISDg	0.0002122	0.0001078	0.0002742	0.0001493	0.001109	0.0001673
marine firmicute HTE831	0.0003321	0.0003113	0.0004397	0.0004986	0.0007559	0
Xylanimonas cellulosilytica strain DSM 15894	0	0.001117	0.0004712	0.0002965	0.0003452	0
Thermoanaerobacter sp. X514	0.0003039	0.0002871	0	0.0001456	0.0008073	0
Escherichia coli UMN026	0.000585	0.001138	0.0002767	0.0006279	0.0007019	0.0007849
Salinispora arenicola strain CNS-205	0.0001712	0.0006863	0.0004921	0	0.0006553	0.001202
Salmonella enterica subsp. enterica serovar Gallinarum strain 287/91	0	0.0008625	0.003266	0.0005814	0.001	0
Clostridium perfringens str. 13	0	0	0.001209	0.000199	0.002903	0
Corynebacterium efficiens strain YS-314	0.0001084	0	0.001066	0.0004902	0.00113	0
Yersinia pestis strain CO92	0	0	0	0.0005267	0	0.003392
Eubacterium eligens strain ATCC 27750	0.0001032	0.0001809	0.001356	0.0003568	0.001638	0
Clostridium botulinum A2 strain Kyoto	0	0.0001005	0	0	0.0004912	0.003201
Yersinia pestis strain KIM 10	0	0.0001455	0.002611	0	0	0.001257
Bifidobacterium longum str. DJO10A	0	0.0005393	0.000378	0	0	0.003289
Thermosipho melanesiensis strain BI429	0.0002282	0.0002308	0.003987	0	0.0004415	0
Methanopyrus kandleri str. AV19	0	0	0	0	0	0
Lactobacillus brevis strain ATCC 367	0	0	0.0003399	0	0	0.003319
Mycobacterium avium str. 104	0.000133	0.0001905	0.0009665	0.0001061	0.0008735	0.0003303
Streptococcus gallolyticus strain UCN34	0	0	0	0	0.0002151	0.003539
Halorubrum lacusprofundi strain ATCC 49239	0.0001025	0	0	0	0	0.002258
Escherichia coli IAI39	0	0.001323	0.002147	0	0.0009738	0.0003797
Rickettsia rickettsii strain 'Sheila Smith'	0.0001294	0.0008441	0	0.0003133	0.001075	0
Renibacterium salmoninarum strain ATCC 33209	0.0001737	0.001712	0	0.0001237	0.001021	0
Sebaldella termitidis strain ATCC 33386	0	0.001176	0.0004219	0.0002782	0.001174	0
Rickettsia africae ESF-5	0.002014	0.001715	0	0	0.0001259	0
Methanocaldococcus vulcanius strain M7	0	0.0001119	0.003559	0	0	0
Salmonella enterica subsp. enterica serovar Agona str. SL483	0.0002949	0.001608	0.0008791	0.0002438	0.0009902	0.0001394
Clostridium acetobutylicum strain ATCC 824	0.0005683	0	0.001785	0.000243	0.0008438	0.000371
Bifidobacterium longum subsp. infantis strain ATCC 15697	0	0.0002612	0	0	0	0.003416
Corynebacterium jeikeium strain K411	0	0.001076	0.0007487	0	0.0007721	0.0009398
Dehalococcoides sp. GT	0	0.001581	0	0.0001921	0	0
Campylobacter curvus strain 525.92	0.0002266	0	0	0.0005946	0.0006974	0
Bifidobacterium lactis AD011	0	0.0003739	0	0	0	0.001535
Streptococcus pneumoniae strain P1031	0	0	0.005684	0	0	0
Salmonella paratyphi C strain RKS4594	0.0001367	0.00112	0.0002944	0	0.002193	0
Enterobacter cloacae subsp. cloacae strain ATCC 13047	0	0	0	0	0	0
Bacillus subtilis subsp. subtilis str. BGSC 1A700	0	0	0	0.0001102	0	0.002194
Halobacterium sp. NRC-1	0	0	0	0	0	0.002704
Escherichia coli O111:H- strain 11128	0.000208	0.001578	0	0.0004412	0.001281	0
Helicobacter pylori strain 26695	0	0	0	0	0	0.0004141
uncultured Termite group 1 bacterium phylotype Rs-D17	0.0002716	0	0	0.0003837	0	0
Escherichia coli strain BL21(DE3)	0	0	0	0	0.00302	0
Coprothermobacter proteolyticus DSM 5265	0	0	0	0	0.0006913	0
Campylobacter jejuni strain RM1221	0.0001692	0	0	0.000113	0	0
Fervidobacterium nodosum strain Rt17-B1	0.0006714	0	0	0.0004105	0.0008712	0
Francisella tularensis subsp. holarctica strain FTNF002-00	0	0	0.0004292	0	0	0.002617
Pseudomonas multivorans	0	0	0	0.002999	0	0
Mycobacterium tuberculosis strain KZN 1435	0.000187	0.000229	0.0004099	0	0.001078	0.0004654
Thermococcus kodakarensis strain KOD1	0	0.00185	0.001698	0	0	0
Clostridium botulinum E3 strain Alaska E43	0.0003223	0	0.001656	0	0.0003208	0
Corynebacterium urealyticum strain DSM 7109	0	0	0.003758	0	0	0
Methanothermobacter thermautotrophicus str. deltaH	0.000181	0.0008354	0	0.0003224	0	0
Cryptobacterium curtum strain DSM 15641	0	0.001161	0	0.000745	0	0
Bacillus cereus strain 03BB102	0	0	0.002188	0.0001916	0	0
Streptococcus pneumoniae strain ATCC 700669	0	0	0.004156	0	0.0003021	0
Hyperthermus butylicus strain DSM 5456	0	0	0.003835	0.0001931	0	0
Sanguibacter keddieii strain DSM 10542	0.0005655	0.0008208	0.0001105	0.0001545	0.0007074	0
Bacillus cereus strain Q1	0	0	0.001395	0	0	0.0001152
Chlamydia trachomatis strain B/TZ1A828/OT	0	0.002004	0	0	0	0
Staphylococcus aureus subsp. aureus str. MW2	0	0	0	0	0	0.001984
Methanocaldococcus fervens strain AG86	0	0.0001529	0	0.0001879	0.001131	0
Salmonella enterica subsp. enterica serovar Choleraesuis strain SC-B67	0	0	0	0	0.0005024	0.001737
Escherichia coli O157:H7 str. EC4115	0	0	0	0.0004141	0.001988	0
Bifidobacterium dentium strain Bd1	0	0.0002427	0	0	0.0001602	0
Cronobacter turicensis z3032	0.0007892	0	0	0.001756	0	0
Escherichia coli O157:H7 EDL933	0	0.0005938	0.0004753	0	0.001576	0
Thermotoga sp. TMO	0.0001847	0	0.0009383	0.0002532	0.000886	0
Brachybacterium faecium strain DSM 4810	0	0	0	0.0001025	0.001087	0
Sphingomonas aromaticivorans Balkwill et al. 1997	0.001319	0	0	0.001536	0	0
Thermotogales bacterium TBF 19.5.1	0.000218	0	0.002028	0	0	0
Lactobacillus rhamnosus strain GG	0	0	0.0009954	0	0.000354	0
Staphylococcus lugdunensis strain HKU09-01	0	0	0	0	0	0.001932
Thermotoga sp. RQ2	0	0.0007751	0	0	0	0
Neorickettsia risticii strain Illinois	0.001013	0	0	0.001016	0.0001364	0
Staphylococcus saprophyticus subsp. saprophyticus strain ATCC 15305	0	0.0005706	0	0.0001099	0.0007332	0
Borrelia turicatae strain 91E135	0.0002816	0.0003868	0	0	0	0.0008311
Mycobacterium tuberculosis strain H37Ra	0	0	0	0	0	0
Streptococcus gordonii str. Challis substr. V288	0.0002188	0.000435	0.001163	0.0002298	0	0
Borrelia afzelii strain PKo	0	0	0.002974	0	0.0002567	0
Thermotoga neapolitana NS-E	0	0	0	0	0.0008414	0
Bacillus pseudofirmus strain OF4	0.001326	0	0	0.0009924	0	0
Lactobacillus plantarum strain JDM1	0	0.0004356	0	0	0.0002979	0.001422
Halorhabdus utahensis strain DSM 12940	0	0	0	0.0001155	0	0.0008975
Escherichia coli O127:H6 strain E2348/69	0	0.001042	0.0005973	0	0.001026	0
Pyrococcus furiosus strain DSM 3638	0	0	0	0	0	0
Bifidobacterium adolescentis strain ATCC 15703	0.0003024	0.0001067	0.0006108	0	0	0
Haloferax volcanii strain DS2	0	0	0	0	0	0
Mycobacterium bovis BCG strain Tokyo 172	0	0	0.0003596	0	0.001058	0.0004711
Lactobacillus delbrueckii subsp. bulgaricus strain ATCC 11842	0	0	0	0	0	0
Methanosphaera stadtmanae strain DSM 3091	0	0.002137	0	0	0	0
Listeria monocytogenes strain 08-5923	0	0	0.003084	0	0	0
Corynebacterium glutamicum strain R	0	0	0.001259	0.0001537	0.000617	0
DSM 13	0	0	0.000448	0	0	0
Streptococcus pneumoniae strain Taiwan19F-14	0	0	0	0	0.0003341	0
Pediococcus pentosaceus strain ATCC 25745	0	0.001426	0.0006355	0	0	0
Haloquadratum walsbyi strain DSM 16790	0.0002296	0.0008647	0	0	0.0005654	0
Escherichia coli O103:H2 strain 12009	0.0002255	0.0002319	0.0005795	0.0002046	0.0003104	0
Mycobacterium tuberculosis strain F11	0	0.0001812	0	0	0.001015	0
Lactococcus lactis subsp. lactis strain Il1403	0	0.0002234	0.0004479	0	0.0002778	0.0009612
Thermosipho africanus strain TCF52B	0.0001968	0.0001259	0	0.000202	0.0006427	0
Staphylococcus aureus subsp. aureus COL	0	0.0002541	0	0	0	0
Enterococcus faecalis str. V583	0	0	0.0001144	0.0002291	0	0
Methanobrevibacter smithii strain ATCC 35061	0.0001073	0	0	0	0	0
Mycobacterium bovis BCG strain Pasteur 1173P2	0	0	0	0	0	0
Anaerococcus prevotii strain DSM 20548	0.0001038	0.0002494	0	0.0003383	0.0006445	0
Haloarcula marismortui strain ATCC 43049	0	0	0	0	0.0005379	0
Streptococcus uberis str. 0140J	0	0	0.0003946	0.0003326	0	0
Campylobacter jejuni subsp. jejuni strain 81116	0.0003208	0.0002465	0	0.0002266	0.0008425	0
Streptococcus thermophilus strain CNRZ1066	0.0002626	0	0	0	0	0
Methanococcus maripaludis strain C7	0	0	0	0	0.001002	0
Methanococcus aeolicus strain Nankai-3	0	0	0	0.0002697	0.0009291	0
Acholeplasma laidlawii strain PG-8A	0	0	0	0.0002289	0.0007615	0
Streptobacillus moniliformis strain DSM 12112	0	0.0007224	0	0.0002353	0	0
Escherichia coli strain BW2952	0	0	0	0.0003381	0.001167	0
Mycobacterium leprae strain Br4923	0	0	0	0	0	0
Bacillus cereus strain AH187	0.0001054	0.000115	0.0001832	0	0.0002731	0.0006613
korarchaeote OPF1-KOR	0	0.001337	0	0	0	0
Methanococcus maripaludis strain C5	0	0	0	0	0.001103	0.0001518
Bacillus weihenstephanensis strain KBAB4	0.0001204	0	0	0	0.000155	0.000113
Campylobacter hominis strain ATCC BAA-381	0.0004945	0	0	0.0003851	0	0
Escherichia coli 55989	0	0.0002364	0.0007762	0	0.0002893	0.000366
Sinorhizobium meliloti (Dangeard 1926) De Lajudie et al. 1994	0.002396	0	0	0	0	0
Clostridium kluyveri strain DSM 555	0	0.0005964	0	0	0	0
Methanocaldococcus sp. FS406-22	0	0	0	0	0	0
Helicobacter pylori strain Shi470	0	0.0009507	0	0	0.0006777	0
