Ortholog group,Average abundance South (standardised and log transformed),Average abundance North (standardised and log transformed),Contribution to variance (%)
argininosuccinate synthase [EC:6.3.4.5]-30,0.01,0.01,0.01
DNA-directed RNA polymerase subunit B [EC:2.7.7.6]-08,0,0,0.01
phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2]-08,0.01,0.01,0.01
anhydro-N-acetylmuramic acid kinase [EC:2.7.1.-]-01,0.02,0.02,0.01
3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase)-01,0.02,0.02,0.01
tRNA(Ile)-lysidine synthase [EC:6.3.4.-]-30,0,0.01,0.01
adenosylcobinamide-phosphate synthase CobD [EC:6.3.1.10]-30,0,0.01,0.01
3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit-30,0,0.01,0.01
chloramphenicol-sensitive protein RarD-01,0.02,0.02,0.01
non-specific serine/threonine protein kinase [EC:2.7.11.1]-30,0,0.01,0.01
sucrose-phosphate synthase [EC:2.4.1.14]-08,0,0.01,0.01
small subunit ribosomal protein S11-08,0.02,0.03,0.01
biotin synthetase [EC:2.8.1.6]-30,0,0.01,0.01
5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]-01,0.02,0.02,0.01
pre-mRNA-processing factor 8-30,0.01,0.01,0.01
pantoate ligase / cytidylate kinase [EC:6.3.2.1 2.7.4.14]-08,0,0.01,0.01
dihydropteroate synthase [EC:2.5.1.15]-01,0.02,0.02,0.01
tRNA(Ile)-lysidine synthase [EC:6.3.4.-]-01,0.03,0.02,0.01
citryl-CoA lyase [EC:4.1.3.34]-08,0.01,0.01,0.01
sulfonate/nitrate/taurine transport system permease protein-30,0.01,0.01,0.01
small subunit ribosomal protein S2-01,0.02,0.02,0.01
charged multivesicular body protein 6-30,0,0.01,0.01
tRNA (guanine-N1-)-methyltransferase [EC:2.1.1.31]-01,0.02,0.02,0.01
UDP-D-GlcNAcA oxidase [EC:1.1.1.-]-08,0.01,0,0.01
cysteine synthase B [EC:2.5.1.47]-01,0.01,0,0.01
ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]-30,0.01,0,0.01
cob(I)alamin adenosyltransferase [EC:2.5.1.17]-30,0,0.01,0.01
CyaY protein-08,0.01,0,0.01
NADH dehydrogenase I subunit C [EC:1.6.5.3]-08,0.02,0.02,0.01
chlorophyll a/b binding light-harvesting protein PcbD-08,0,0.01,0.01
fumarate hydratase; class I [EC:4.2.1.2]-01,0.01,0,0.01
endonuclease III [EC:4.2.99.18]-30,0.01,0.01,0.01
diaminopropionate ammonia-lyase [EC:4.3.1.15]-01,0.02,0.02,0.01
acetoacetyl-CoA reductase [EC:1.1.1.36]-08,0.01,0.01,0.01
D-alanine transaminase [EC:2.6.1.21]-08,0.02,0.02,0.01
2-dehydro-3-deoxyphosphogluconate aldolase /-08,0.02,0.01,0.01
phosphoheptose isomerase [EC:5.-.-.-]-08,0.01,0.01,0.01
glucosylglycerol-phosphate synthase [EC:2.4.1.213]-08,0,0.01,0.01
glycyl-tRNA synthetase [EC:6.1.1.14]-30,0.01,0.01,0.01
large subunit ribosomal protein L31-08,0.02,0.01,0.01
adenylylsulfate kinase [EC:2.7.1.25]-30,0,0.01,0.01
alpha-L-fucosidase [EC:3.2.1.51]-08,0,0.01,0.01
tRNA-dihydrouridine synthase A [EC:1.-.-.-]-01,0.02,0.02,0.01
geranylgeranyl diphosphate synthase; type I [EC:2.5.1.1 2.5.1.10-08,0.01,0,0.01
uroporphyrin-III C-methyltransferase [EC:2.1.1.107]-08,0.02,0.02,0.01
ATP-dependent helicase HrpB [EC:3.6.1.-]-30,0.01,0.01,0.01
prephenate dehydratase [EC:4.2.1.51]-01,0.03,0.03,0.01
phosphonate transport system ATP-binding protein-08,0.01,0.01,0.01
glutamyl-Q tRNA(Asp) synthetase [EC:6.1.1.-]-30,0,0.01,0.01
adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]-08,0.02,0.01,0.01
riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]-01,0.02,0.03,0.01
septum site-determining protein MinC-08,0,0.01,0.01
nitronate monooxygenase [EC:1.13.12.16]-08,0.02,0.01,0.01
5-methylthioribose kinase [EC:2.7.1.100]-08,0,0.01,0.01
ureidoglycolate hydrolase [EC:3.5.3.19]-08,0.01,0.01,0.01
integration host factor subunit alpha-08,0.01,0.01,0.01
phosphatidylcholine synthase [EC:2.7.8.24]-08,0.01,0.01,0.01
5-methyltetrahydropteroyltriglutamate--homocysteine-30,0.01,0.01,0.01
small subunit ribosomal protein S7-30,0.01,0.01,0.01
large subunit ribosomal protein L14-30,0.01,0.01,0.01
adenylate kinase [EC:2.7.4.3]-30,0.01,0.01,0.01
Na+-transporting NADH:ubiquinone oxidoreductase subunit B-30,0,0.01,0.01
mannitol 2-dehydrogenase [EC:1.1.1.67]-08,0.01,0.01,0.01
deoxyhypusine synthase [EC:2.5.1.46]-01,0.02,0.02,0.01
type III pantothenate kinase [EC:2.7.1.33]-30,0,0.01,0.01
translation initiation factor IF-1-08,0.02,0.02,0.01
tRNA-dihydrouridine synthase C [EC:1.-.-.-]-08,0.01,0,0.01
xanthine dehydrogenase small subunit [EC:1.17.1.4]-30,0,0.01,0.01
type IV pilus assembly protein PilQ-30,0,0.01,0.01
xanthine dehydrogenase accessory factor-30,0,0.01,0.01
chlorophyllide reductase subunit Z [EC:1.18.-.-]-08,0,0.01,0.01
D-alanine-D-alanine ligase [EC:6.3.2.4]-30,0,0.01,0.01
photosystem I subunit III-30,0.01,0,0.01
molecular chaperone GrpE-01,0.02,0.02,0.01
intestinal mucin-2-08,0,0.01,0.01
putative translation factor-01,0.02,0.02,0.01
protoporphyrinogen oxidase [EC:1.3.3.4]-08,0.02,0.02,0.01
2;4-dihydroxyhept-2-ene-1;7-dioic acid aldolase [EC:4.1.2.-]-01,0,0.01,0.01
iron complex outermembrane recepter protein-01,0.01,0.01,0.01
UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide)-01,0.02,0.02,0.01
4-carboxymuconolactone decarboxylase [EC:4.1.1.44]-08,0.01,0.01,0.01
glycine cleavage system H protein-30,0,0.01,0.01
cell division transport system ATP-binding protein-08,0.02,0.01,0.01
Notch-08,0,0.01,0.01
3-octaprenyl-4-hydroxybenzoate carboxy-lyase UbiD [EC:4.1.1.-]-30,0,0.01,0.01
O-succinylbenzoate synthase [EC:4.2.1.113]-08,0,0.01,0.01
large subunit ribosomal protein L25-01,0.02,0.02,0.01
large subunit ribosomal protein L10-30,0,0.01,0.01
ribonuclease HI [EC:3.1.26.4]-08,0.03,0.03,0.01
multicomponent Na+:H+ antiporter subunit F-08,0.01,0,0.01
CysQ protein-30,0,0.01,0.01
MFS transporter; FHS family; L-fucose permease-30,0,0.01,0.01
UDP-glucose 4-epimerase [EC:5.1.3.2]-01,0.02,0.02,0.01
methylated-DNA-protein-cysteine methyltransferase related protein-08,0.01,0,0.01
FO synthase [EC:2.5.1.-]-08,0.01,0,0.01
undecaprenyl diphosphate synthase [EC:2.5.1.31]-01,0.02,0.02,0.01
photosystem I subunit XI-30,0.01,0,0.01
high-affinity iron transporter-30,0,0.01,0.01
small subunit ribosomal protein S11-30,0.01,0.01,0.01
fatty-acyl-CoA synthase [EC:6.2.1.-]-01,0.02,0.02,0.01
dCTP deaminase [EC:3.5.4.13]-30,0,0.01,0.01
carboxylesterase type B [EC:3.1.1.1]-08,0.01,0.01,0.01
DNA-directed RNA polymerase III subunit C1 [EC:2.7.7.6]-08,0,0.01,0.01
small subunit ribosomal protein S19-08,0.01,0.01,0.01
tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]-01,0.02,0.02,0.01
glycine betaine/proline transport system ATP-binding protein-30,0.01,0.01,0.01
preprotein translocase subunit YajC-08,0.01,0.01,0.01
lipopolysaccharide export system ATP-binding protein [EC:3.6.3.-]-01,0.02,0.02,0.01
putative N6-adenine-specific DNA methylase-08,0.01,0.01,0.01
GTP pyrophosphokinase [EC:2.7.6.5]-30,0.01,0.01,0.01
triacylglycerol lipase [EC:3.1.1.3]-08,0,0.01,0.01
Na+-transporting NADH:ubiquinone oxidoreductase subunit D-30,0,0.01,0.01
E3 ubiquitin-protein ligase HERC2 [EC:6.3.2.19]-30,0,0.01,0.01
simple sugar transport system substrate-binding protein-30,0,0.01,0.01
NADH dehydrogenase I subunit I [EC:1.6.5.3]-30,0,0.01,0.01
ATP-dependent Clp protease adaptor protein ClpS-08,0.01,0.01,0.01
Ca2+-transporting ATPase [EC:3.6.3.8]-08,0,0.01,0.01
NAD(P) transhydrogenase [EC:1.6.1.1]-30,0,0.01,0.01
fructose-bisphosphate aldolase; class II [EC:4.1.2.13]-30,0.01,0.01,0.01
phosphate acetyltransferase [EC:2.3.1.8]-30,0,0.01,0.01
pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]-30,0,0.01,0.01
elongation factor EF-2 [EC:3.6.5.3]-30,0.01,0.01,0.01
stage II sporulation protein D-08,0,0.01,0.01
acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase /-01,0.01,0,0.01
adenosylmethionine-8-amino-7-oxononanoate aminotransferase-01,0.01,0,0.01
3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.- 2.1.1.64]-30,0,0.01,0.01
ferredoxin--NADP+ reductase [EC:1.18.1.2]-30,0.01,0.01,0.01
cytochrome b6-f complex subunit 4-08,0.01,0.01,0.01
putative thiamine transport system substrate-binding protein-08,0.01,0.01,0.01
F-type H+-transporting ATPase subunit b [EC:3.6.3.14]-30,0.01,0.01,0.01
CysQ protein-01,0.02,0.02,0.01
lipopolysaccharide export system permease protein-01,0.03,0.03,0.01
competence/damage-inducible protein CinA-30,0,0.01,0.01
dihydropyrimidinase [EC:3.5.2.2]-30,0,0.01,0.01
flagellar hook protein FlgE-30,0,0.01,0.01
exonuclease SbcC-01,0.01,0.01,0.01
glycine cleavage system H protein-08,0.02,0.02,0.01
solute:Na+ symporter; SSS family-01,0.01,0.01,0.01
peptidyl-dipeptidase A [EC:3.4.15.1]-30,0,0.01,0.01
dual-specificity tyrosine-(Y)-phosphorylation regulated kinase-30,0.01,0.01,0.01
asparaginyl-tRNA synthetase [EC:6.1.1.22]-30,0.01,0.01,0.01
glucose inhibited division protein B [EC:2.1.-.-]-08,0.03,0.02,0.01
exodeoxyribonuclease I [EC:3.1.11.1]-30,0,0.01,0.01
ribonuclease Z [EC:3.1.26.11]-08,0.01,0.02,0.01
dephospho-CoA kinase [EC:2.7.1.24]-30,0,0.01,0.01
oxaloacetate decarboxylase; beta subunit [EC:4.1.1.3]-01,0.01,0,0.01
molybdenum cofactor biosynthesis protein A-01,0.02,0.02,0.01
elongation factor EF-P-01,0.02,0.02,0.01
succinate-semialdehyde dehydrogenase (NADP+) [EC:1.2.1.16]-01,0.02,0.02,0.01
DNA-3-methyladenine glycosylase II [EC:3.2.2.21]-08,0.01,0.01,0.01
1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]-01,0.02,0.02,0.01
putative spermidine/putrescine transport system ATP-binding protein-30,0,0.01,0.01
succinate dehydrogenase iron-sulfur protein [EC:1.3.99.1]-01,0.02,0.02,0.01
ribosomal protein S6 modification protein-30,0,0.01,0.01
ribosomal protein L11 methyltransferase [EC:2.1.1.-]-30,0,0.01,0.01
phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]-08,0.02,0.02,0.01
xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]-08,0,0.01,0.01
transcription elongation factor SPT6-30,0.01,0,0.01
flagellar biosynthesis protein FlhF-08,0.01,0,0.01
plastocyanin-08,0,0.01,0.01
two-component system; OmpR family; response regulator-30,0,0.01,0.01
zinc transport system substrate-binding protein-01,0.01,0.01,0.01
phosphate transport system substrate-binding protein-30,0,0.01,0.01
triosephosphate isomerase (TIM) [EC:5.3.1.1]-30,0.01,0.01,0.01
small subunit ribosomal protein S13-08,0.03,0.03,0.01
GST-like protein-30,0,0.01,0.01
hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]-08,0.01,0.01,0.01
glutamate--cysteine ligase catalytic subunit [EC:6.3.2.2]-30,0.01,0.01,0.01
undecaprenyl diphosphate synthase [EC:2.5.1.31]-30,0,0.01,0.01
UDP-N-acetylmuramate dehydrogenase [EC:1.1.1.158]-01,0.02,0.02,0.01
RNA polymerase sigma factor for flagellar operon FliA-30,0,0.01,0.01
integrator complex subunit 6-08,0,0,0.01
cobaltochelatase CobS [EC:6.6.1.2]-30,0,0.01,0.01
riboflavin synthase alpha chain [EC:2.5.1.9]-30,0,0.01,0.01
aminopeptidase [EC:3.4.11.-]-30,0,0.01,0.01
type IV pilus assembly protein PilB-30,0,0.01,0.01
alpha 1;3-glucosidase [EC:3.2.1.84]-08,0,0.01,0.01
ubiquinone/menaquinone biosynthesis methyltransferase [EC:2.1.1.-]-30,0,0.01,0.01
2-C-methyl-D-erythritol 2;4-cyclodiphosphate synthase [EC:4.6.1.12]-08,0.01,0.01,0.01
CarD family transcriptional regulator-01,0.01,0.02,0.01
thiamine biosynthesis protein ThiC-01,0.01,0,0.01
two-component system; NtrC family; nitrogen regulation response-01,0.02,0.03,0.01
glycine dehydrogenase subunit 2 [EC:1.4.4.2]-08,0,0.01,0.01
manganese/iron transport system substrate-binding protein-08,0.01,0.02,0.01
LL-diaminopimelate aminotransferase [EC:2.6.1.83]-08,0,0.01,0.01
NADH dehydrogenase I subunit N [EC:1.6.5.3]-30,0.01,0.01,0.01
sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]-30,0,0.01,0.01
ribonuclease D [EC:3.1.13.5]-30,0,0.01,0.01
small subunit ribosomal protein S4-01,0.02,0.02,0.01
ribose transport system permease protein-08,0.01,0.01,0.01
ribonucleoside-diphosphate reductase subunit M1 [EC:1.17.4.1]-30,0.01,0.01,0.01
zinc/manganese transport system substrate-binding protein-08,0,0.01,0.01
coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]-30,0,0.01,0.01
dipeptidyl-peptidase III [EC:3.4.14.4]-08,0.01,0.01,0.01
glucose inhibited division protein B [EC:2.1.-.-]-01,0.02,0.02,0.01
biopolymer transport protein TolQ-30,0,0.01,0.01
proline iminopeptidase [EC:3.4.11.5]-30,0,0.01,0.01
cystathionine beta-lyase [EC:4.4.1.8]-01,0.02,0.02,0.01
putative glutamine amidotransferase-30,0,0.01,0.01
sec-independent protein translocase protein TatC-01,0.02,0.02,0.01
glucuronate isomerase [EC:5.3.1.12]-08,0.01,0.01,0.01
alkyl hydroperoxide reductase subunit F [EC:1.6.4.-]-30,0,0.01,0.01
DNA replication and repair protein RecF-01,0.01,0.01,0.01
oxaloacetate decarboxylase; alpha subunit [EC:4.1.1.3]-30,0,0.01,0.01
galactokinase [EC:2.7.1.6]-30,0,0.01,0.01
putative acetyltransferase [EC:2.3.1.-]-08,0.01,0.01,0.01
flagellar basal-body rod protein FlgC-08,0.01,0.01,0.01
clathrin; heavy polypeptide-08,0,0.01,0.01
basic amino acid/polyamine antiporter; APA family-08,0.01,0.01,0.01
4-alpha-glucanotransferase [EC:2.4.1.25]-30,0,0.01,0.01
AFG3 family protein [EC:3.4.24.-]-30,0.01,0,0.01
ribosomal RNA large subunit methyltransferase F [EC:2.1.1.48]-08,0.01,0.01,0.01
shikimate kinase [EC:2.7.1.71]-01,0.01,0.02,0.01
esterase / lipase [EC:3.1.1.-]-08,0.01,0.01,0.01
Fe-S cluster assembly ATP-binding protein-01,0.02,0.02,0.01
lipid A biosynthesis lauroyl acyltransferase [EC:2.3.1.-]-01,0.02,0.02,0.01
mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]-08,0,0.01,0.01
prephenate dehydrogenase [EC:1.3.1.12]-30,0,0.01,0.01
large subunit ribosomal protein L6-30,0,0.01,0.01
tryptophan-rich sensory protein-08,0.01,0.01,0.01
muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]-08,0.01,0.01,0.01
WNK lysine deficient protein kinase [EC:2.7.11.1]-30,0.01,0.01,0.01
ribose 5-phosphate isomerase B [EC:5.3.1.6]-08,0.01,0.01,0.01
anthranilate phosphoribosyltransferase [EC:2.4.2.18]-01,0.02,0.02,0.01
1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]-30,0,0.01,0.01
tRNA-dihydrouridine synthase A [EC:1.-.-.-]-30,0.01,0.01,0.01
glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33]-08,0.01,0.01,0.01
5-hydroxyisourate hydrolase [EC:3.5.2.17]-08,0.01,0,0.01
taurine dioxygenase [EC:1.14.11.17]-01,0.01,0.01,0.01
N-acylneuraminate cytidylyltransferase [EC:2.7.7.43]-08,0.01,0.01,0.01
kynureninase [EC:3.7.1.3]-30,0,0.01,0.01
integrase/recombinase XerD-30,0,0.01,0.01
beta-galactosidase [EC:3.2.1.23]-01,0.01,0,0.01
pantoate--beta-alanine ligase [EC:6.3.2.1]-01,0.02,0.01,0.01
3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]-30,0,0.01,0.01
DNA polymerase IV [EC:2.7.7.7]-01,0.01,0,0.01
type VI secretion system protein ImpJ-08,0,0.01,0.01
sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]-30,0,0.01,0.01
leader peptidase (prepilin peptidase) / N-methyltransferase-08,0.02,0.02,0.01
iron complex transport system ATP-binding protein [EC:3.6.3.34]-30,0.01,0.01,0.01
biopolymer transport protein ExbD-30,0,0.01,0.01
vanillate monooxygenase [EC:1.14.13.82]-08,0.01,0,0.01
chemotaxis protein MotA-30,0,0.01,0.01
ribosomal RNA small subunit methyltransferase E [EC:2.1.1.-]-30,0,0.01,0.01
flagellar hook-associated protein 1 FlgK-30,0,0.01,0.01
large subunit ribosomal protein L3-01,0.02,0.02,0.01
RNA polymerase sigma-54 factor-01,0.01,0.01,0.01
5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]-08,0.02,0.01,0.01
glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]-01,0.01,0.01,0.01
bifunctional protein GlmU [EC:2.7.7.23 2.3.1.157]-01,0.01,0.01,0.01
tRNA dimethylallyltransferase [EC:2.5.1.75]-30,0.01,0.01,0.01
molybdenum cofactor biosynthesis protein B-30,0,0.01,0.01
sulfate adenylyltransferase [EC:2.7.7.4]-01,0.01,0,0.01
N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]-30,0,0.01,0.01
fructose-1;6-bisphosphatase II [EC:3.1.3.11]-30,0,0.01,0.01
acetylglutamate kinase [EC:2.7.2.8]-01,0.02,0.02,0.01
phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]-30,0,0.01,0.01
3R-hydroxymyristoyl ACP dehydrase [EC:4.2.1.-]-30,0,0.01,0.01
3-isopropylmalate dehydratase [EC:4.2.1.33]-08,0.01,0.01,0.01
sec-independent protein translocase protein TatB-08,0.01,0.01,0.01
proton-dependent oligopeptide transporter; POT family-30,0,0.01,0.01
glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]-30,0,0.01,0.01
mannosyl-oligosaccharide alpha-1;2-mannosidase [EC:3.2.1.113]-08,0,0.01,0.01
large subunit ribosomal protein L20-08,0.03,0.02,0.01
zinc/manganese transport system ATP-binding protein-08,0,0.01,0.01
MSHA biogenesis protein MshO-08,0.01,0,0.01
fructose-1;6-bisphosphatase II [EC:3.1.3.11]-01,0.01,0.02,0.01
galactokinase [EC:2.7.1.6]-08,0,0.01,0.01
flagellar motor switch protein FliM-30,0,0.01,0.01
NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]-08,0,0.01,0.01
pre-mRNA-splicing helicase BRR2 [EC:3.6.1.-]-30,0.01,0.01,0.01
uridylate kinase [EC:2.7.4.22]-08,0.03,0.03,0.01
formiminoglutamase [EC:3.5.3.8]-08,0.01,0,0.01
shikimate dehydrogenase [EC:1.1.1.25]-01,0.02,0.02,0.01
Na+-transporting NADH:ubiquinone oxidoreductase subunit E-30,0,0.01,0.01
cathepsin X [EC:3.4.18.1]-30,0.01,0,0.01
peptide methionine sulfoxide reductase msrA/msrB [EC:1.8.4.11-08,0.01,0.01,0.01
flagellar L-ring protein precursor FlgH-08,0.01,0.01,0.01
diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]-08,0,0.01,0.01
polysaccharide export outer membrane protein-30,0,0.01,0.01
flagellar basal-body rod protein FlgG-30,0,0.01,0.01
F-type H+-transporting ATPase subunit delta [EC:3.6.3.14]-30,0.01,0.01,0.01
putative tricarboxylic transport membrane protein-01,0.02,0.02,0.01
putative holliday junction resolvase [EC:3.1.-.-]-08,0.02,0.01,0.01
ATP-dependent helicase STH1/SNF2 [EC:3.6.1.-]-30,0.01,0,0.01
MFS transporter; NNP family; nitrate/nitrite transporter-30,0.01,0.01,0.01
D-erythrose 4-phosphate dehydrogenase [EC:1.2.1.72]-08,0.01,0,0.01
serine protease DegS [EC:3.4.21.-]-08,0.01,0.01,0.01
octaprenyl diphosphate synthase [EC:2.5.1.-]-30,0.01,0.01,0.01
MoxR-like ATPase [EC:3.6.3.-]-01,0.01,0.01,0.01
signal peptidase I [EC:3.4.21.89]-01,0.02,0.02,0.01
5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9]-30,0.01,0.01,0.01
putative copper resistance protein D-08,0.01,0.01,0.01
phosphoinositide-3-kinase; regulatory subunit 4; p150 [EC:2.7.11.1]-30,0.01,0,0.01
iron(III) transport system ATP-binding protein [EC:3.6.3.30]-30,0,0.01,0.01
Na+-transporting NADH:ubiquinone oxidoreductase subunit F-01,0.01,0.01,0.01
small subunit ribosomal protein S12-30,0.01,0.01,0.01
zeta-carotene desaturase [EC:1.14.99.30]-08,0,0.01,0.01
NAD+ kinase [EC:2.7.1.23]-01,0.02,0.02,0.01
O-succinylbenzoic acid--CoA ligase [EC:6.2.1.26]-08,0.01,0.01,0.01
large subunit ribosomal protein L11-30,0.01,0.01,0.01
glutathione synthase [EC:6.3.2.3]-01,0.02,0.02,0.01
ATP-dependent Clp protease ATP-binding subunit ClpC-01,0.01,0.01,0.01
LysR family transcriptional regulator; hydrogen peroxide-inducible-01,0.01,0.01,0.01
apocytochrome f-08,0,0.01,0.01
ribonuclease HII [EC:3.1.26.4]-01,0.02,0.02,0.01
cation efflux system protein; CDF family-30,0,0.01,0.01
ribosomal large subunit pseudouridine synthase C [EC:5.4.99.12]-30,0,0.01,0.01
glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]-01,0.02,0.02,0.01
holo-[acyl-carrier protein] synthase [EC:2.7.8.7]-08,0.01,0.01,0.01
fructokinase [EC:2.7.1.4]-08,0.03,0.03,0.01
exoribonuclease II [EC:3.1.13.1]-01,0.01,0,0.01
phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2]-30,0,0.01,0.01
nicotinate-nucleotide--dimethylbenzimidazole-30,0,0.01,0.01
nucleoside-triphosphatase [EC:3.6.1.15]-30,0,0.01,0.01
dCMP deaminase [EC:3.5.4.12]-08,0.01,0.01,0.01
lipopolysaccharide export system protein LptA-08,0.01,0.01,0.01
glycerol-3-phosphate acyltransferase PlsX [EC:2.3.1.15]-01,0.02,0.02,0.01
beta-N-acetylhexosaminidase [EC:3.2.1.52]-01,0.01,0.02,0.01
phage shock protein A-30,0,0.01,0.01
guanosine-3';5'-bis(diphosphate) 3'-pyrophosphohydrolase-30,0,0.01,0.01
phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]-08,0.01,0,0.01
preprotein translocase subunit SecF-01,0.02,0.02,0.01
xanthine dehydrogenase large subunit [EC:1.17.1.4]-01,0.01,0.01,0.01
4-coumarate--CoA ligase [EC:6.2.1.12]-08,0.01,0,0.01
undecaprenyl-diphosphatase [EC:3.6.1.27]-01,0.02,0.02,0.01
uridylate kinase [EC:2.7.4.22]-30,0,0.01,0.01
small subunit ribosomal protein S5-01,0.02,0.02,0.01
phosphatidylserine decarboxylase [EC:4.1.1.65]-30,0,0.01,0.01
cell division cycle 14 [EC:3.1.3.48]-30,0,0.01,0.01
cytidylate kinase [EC:2.7.4.14]-30,0,0.01,0.01
protein kinase A [EC:2.7.11.11]-08,0,0.01,0.01
DNA glycosylase [EC:3.2.2.-]-08,0,0.01,0.01
type IV pilus assembly protein PilY1-30,0,0.01,0.01
UDP-2;3-diacylglucosamine hydrolase [EC:3.6.1.-]-30,0,0.01,0.01
large subunit ribosomal protein L27-08,0.02,0.02,0.01
GAF domain-containing protein-08,0.01,0,0.01
protein-tyrosine phosphatase [EC:3.1.3.48]-08,0.01,0.01,0.01
pyridoxine 5-phosphate synthase [EC:2.6.99.2]-01,0.02,0.02,0.01
circadian clock protein KaiC-08,0,0.01,0.01
small subunit ribosomal protein S17-08,0.01,0.01,0.01
cell division transport system permease protein-30,0,0.01,0.01
methyltransferase [EC:2.1.1.-]-01,0.02,0.02,0.01
monofunctional biosynthetic peptidoglycan transglycosylase-08,0.01,0.01,0.01
phosphate:Na+ symporter; PNaS family-01,0.01,0,0.01
heat shock 70kDa protein 5-08,0,0.01,0.01
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.60]-30,0,0.01,0.01
thiamine-monophosphate kinase [EC:2.7.4.16]-01,0.02,0.02,0.01
chlorophyllide reductase subunit Y [EC:1.18.1.-]-08,0,0.01,0.01
LacI family transcriptional regulator-30,0,0.01,0.01
putative NADH dehydrogenase/NAD(P)H nitroreductase RutE [EC:1.-.-.-]-08,0,0.01,0.01
GDP-L-fucose synthase [EC:1.1.1.271]-30,0,0.01,0.01
flagellar M-ring protein FliF-30,0,0.01,0.01
ubiquitin carboxyl-terminal hydrolase 14 [EC:3.1.2.15]-08,0,0.01,0.01
thiamine biosynthesis ThiG-08,0.02,0.02,0.01
urea transport system ATP-binding protein-08,0,0.01,0.01
DNA-directed RNA polymerase I subunit A1 [EC:2.7.7.6]-30,0.01,0,0.01
large subunit ribosomal protein L1-01,0.02,0.02,0.01
V-type H+-transporting ATPase subunit I [EC:3.6.3.14]-08,0.01,0.01,0.01
glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]-30,0,0.01,0.01
protein phosphatase [EC:3.1.3.16]-08,0.01,0,0.01
type IV pilus assembly protein PilN-08,0,0.01,0.01
translation initiation factor eIF-6-08,0,0,0.01
tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34]-08,0.01,0.01,0.01
cytochrome c-type biogenesis protein-01,0.01,0.01,0.01
photosystem II PsbE protein-30,0.01,0,0.01
sulfate adenylyltransferase [EC:2.7.7.4]-30,0,0.01,0.01
ubiquinol-cytochrome c reductase cytochrome c1 subunit [EC:1.10.2.2]-30,0,0.01,0.01
peptidoglycan-associated lipoprotein-08,0.02,0.02,0.01
biopolymer transport protein ExbB-01,0.01,0.01,0.01
RNA methyltransferase; TrmH family [EC:2.1.1.-]-01,0.02,0.02,0.01
putative RNA-binding protein containing KH domain-08,0.01,0,0.01
precorrin-8X methylmutase [EC:5.4.1.2]-08,0.01,0.01,0.01
L-2;4-diaminobutyric acid acetyltransferase [EC:2.3.1.178]-08,0.01,0,0.01
small subunit ribosomal protein S19-30,0.01,0.01,0.01
poly(A) polymerase [EC:2.7.7.19]-30,0.01,0.01,0.01
3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]-01,0.01,0.01,0.01
FdhD protein-30,0,0.01,0.01
GTP cyclohydrolase I [EC:3.5.4.16]-01,0.02,0.02,0.01
nitric-oxide reductase NorQ protein [EC:1.7.99.7]-08,0.01,0,0.01
transitional endoplasmic reticulum ATPase-30,0.01,0.01,0.01
putative ABC transport system permease protein-30,0,0.01,0.01
